FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'build-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 20, 'match': 'attachments/deploy-api/api-model.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 588, 'match': 'attachments/pluggable-widgets/property-types/file.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/file.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/file.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 622, 'match': 'attachments/pluggable-widgets/property-types/datasource.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/datasource.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/datasource.png'}
OK {'file': 'pluggable-widgets-studio-apis.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 279, 'match': 'attachments/pluggable-widgets/studio-apis/selectable-component.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-studio-apis/selectable-component.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-studio-apis/selectable-component.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 130, 'match': 'attachments/pluggable-widgets/basic-widget.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/basic-widget.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/basic-widget.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 132, 'match': 'attachments/pluggable-widgets/basic-widget-progress-card.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/basic-widget-progress-card.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/basic-widget-progress-card.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 138, 'match': 'attachments/pluggable-widgets/widget-dialog-help-button.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/widget-dialog-help-button.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/widget-dialog-help-button.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 256, 'match': 'attachments/pluggable-widgets/edit-progress-card.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/edit-progress-card.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/edit-progress-card.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 258, 'match': 'attachments/pluggable-widgets/edit-visual-tab.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/edit-visual-tab.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/edit-visual-tab.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 260, 'match': 'attachments/pluggable-widgets/properties-widget.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/properties-widget.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/properties-widget.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 286, 'match': 'attachments/pluggable-widgets/card-icon.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/card-icon.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/card-icon.png'}
