FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 56, 'match': 'attachments/activities/call-microflow.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/call-microflow.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/call-microflow.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 64, 'match': 'attachments/activities/change-variable.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/change-variable.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/change-variable.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 65, 'match': 'attachments/activities/create-variable.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/create-variable.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/create-variable.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 73, 'match': 'attachments/activities/call-nanoflow.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/call-nanoflow.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/call-nanoflow.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 74, 'match': 'attachments/activities/close-page.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/close-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/close-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 75, 'match': 'attachments/activities/download-file.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/download-file.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/download-file.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 76, 'match': 'attachments/activities/show-home-page.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/show-home-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/show-home-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 77, 'match': 'attachments/activities/show-message.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/show-message.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/show-message.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 78, 'match': 'attachments/activities/show-page.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/show-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/show-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 79, 'match': 'attachments/activities/synchronize-to-device.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/synchronize-to-device.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/synchronize-to-device.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 80, 'match': 'attachments/activities/synchronize.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/synchronize.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/synchronize.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 81, 'match': 'attachments/activities/validation-feedback.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/validation-feedback.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/validation-feedback.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 89, 'match': 'attachments/activities/call-rest-service.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/call-rest-service.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/call-rest-service.png'}
