FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 61, 'match': 'attachments/activities/create-variable.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/create-variable.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/create-variable.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 69, 'match': 'attachments/activities/call-nanoflow.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-nanoflow.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-nanoflow.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 70, 'match': 'attachments/activities/close-page.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/close-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/close-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 71, 'match': 'attachments/activities/download-file.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/download-file.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/download-file.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 72, 'match': 'attachments/activities/show-home-page.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/show-home-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/show-home-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 73, 'match': 'attachments/activities/show-message.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/show-message.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/show-message.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 74, 'match': 'attachments/activities/show-page.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/show-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/show-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 75, 'match': 'attachments/activities/synchronize-to-device.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/synchronize-to-device.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/synchronize-to-device.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 76, 'match': 'attachments/activities/synchronize.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/synchronize.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/synchronize.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 77, 'match': 'attachments/activities/validation-feedback.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/validation-feedback.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/validation-feedback.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 85, 'match': 'attachments/activities/call-rest-service.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-rest-service.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-rest-service.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 86, 'match': 'attachments/activities/call-web-service.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-web-service.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-web-service.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 87, 'match': 'attachments/activities/import-with-mapping.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/import-with-mapping.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/import-with-mapping.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 88, 'match': 'attachments/activities/export-with-mapping.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/export-with-mapping.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/export-with-mapping.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 94, 'match': 'attachments/activities/log-message.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/log-message.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/log-message.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 100, 'match': 'attachments/activities/generate-document.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/generate-document.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/generate-document.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 108, 'match': 'attachments/activities/complete-task.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/complete-task.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/complete-task.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 109, 'match': 'attachments/activities/open-task-page.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/open-task-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/open-task-page.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 110, 'match': 'attachments/activities/open-workflow-page.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/open-workflow-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/open-workflow-page.png'}
